state_county,pop_2012,popdensity,percapinc
19043,17982,23.09712091,23485
19045,49004,70.51798599,24553
19047,16942,23.72198691,21422
19049,72570,123.3246076,34246
19051,8777,17.47750411,21650
19053,8317,15.63694891,17477
19055,17553,30.38133652,23519
19057,40046,96.23585498,23908
19059,16767,44.0534577,30862
19061,95219,156.5317698,25525
19063,10143,25.62118381,25400
19065,20451,27.98398499,21897
19067,16090,32.13937053,22812
19069,10529,18.09192583,23759
19071,7193,14.07218429,24180
19073,9039,15.86976601,26072
19075,12442,24.79187862,28450
19077,10734,18.17411651,26981
19079,15377,26.66142696,24530
19081,11114,19.46394228,24134
19083,17179,30.17527564,24482
19085,14705,21.10216473,25506
19087,20052,46.16787149,23767
19089,9419,19.90288741,23748
19091,9590,22.07885095,25372
19093,6836,15.84212918,25333
19095,16410,27.98160181,28632
19097,19768,31.07986304,23752
19099,36652,50.17934555,24025
19101,16834,38.65356296,25224
19103,135896,221.314669,28746
19105,20691,35.94553496,23822
19107,10227,17.65774665,22159
19109,15039,15.46077149,29231
19111,35465,68.52896416,21292
19113,216826,302.4578745,29209
19115,11139,27.72507993,22642
19117,8739,20.29525013,20328
19119,11413,19.42141562,22048
19121,16044,28.59861276,26763
19123,22381,39.20557047,22252
19125,33597,60.58596955,25062
19127,41052,71.706427,23085
19129,15124,34.57412723,27099
19131,10685,22.77605363,23561
19133,9002,12.96983494,23126
19135,7890,18.19166421,22504
19137,10396,24.51327054,22039
19139,43172,98.68576058,24345
19141,14041,24.50286108,26821
19143,6228,15.62138438,23278
19145,15585,29.13397726,22114
19147,9149,16.22611876,24027
19149,24943,28.90625917,28660
19151,6863,11.88931662,23556
19153,446462,778.0866862,29673
19155,94597,99.54644331,24644
19157,18852,32.22936573,25472
19159,4957,9.256800356,22620
19161,10020,17.42573826,26072
19163,167606,365.8811086,28010
19165,11826,20.01763912,24628
19167,34078,44.35324515,22568
19169,92111,160.8031354,26265
19171,17579,24.38102603,24089
19173,6057,11.38744595,22977
19175,12560,29.64745714,21332
19177,7471,15.4108288,20510
19179,35464,82.12426352,22570
19181,47746,83.79035213,29045
19183,21875,38.45577637,24615
19185,6252,11.8986758,20107
19187,37395,52.25548402,23718
19189,10631,26.54505278,23538
19191,20948,30.36522454,24170
19193,102507,117.4415738,22652
19195,7446,18.60925647,27773
19197,12889,22.20624498,23786
20001,12900,25.78436757,20367
20003,7986,13.77737339,21022
20005,16926,39.25581857,21461
20007,4647,4.0976197,25082
20009,27588,30.81081297,24639
20011,15048,23.68008101,18736
20013,9710,17.0090639,19822
20015,66794,46.71355069,26710
20017,2677,3.462860651,20530
20019,3450,5.400069676,20836
20021,21214,36.10476955,19661
20023,2587,2.536554697,21318
20025,2101,2.155684577,27172
20027,8632,13.3767013,24719
20029,9367,13.09444025,19570
20031,8427,13.44133567,25512
20033,1818,2.306235515,23419
20035,36180,32.1385665,20855
20037,39190,66.45117274,20396
20039,2457,2.749806588,22673
20041,19726,23.28727423,23035
20043,7792,19.80654864,22051
20045,113596,249.1846464,25654
20047,2849,4.581169157,24415
20049,2730,4.237388402,20646
20051,28667,31.85532073,24441
